# L1 template spectrum
# 40 total spectra
# resolution  = 20 km/s per pixel
# 5350 to 9200 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000   -0.0013394668     0.012750891     0.014234152     0.084108125
       5350.3569    0.0026799167     0.013845145     0.014128399     0.094409213
       5350.7139    0.0033299003     0.018722299     0.013990054      0.10286680
       5351.0708   0.00033509016     0.016103122     0.013850743      0.11219328
       5351.4278   -0.0055183721     0.013291969     0.013735873      0.11550678
       5351.7848   -0.0070062695    0.0090458835     0.013672699      0.10094091
       5352.1418   -0.0025659161     0.012533895     0.013649296     0.082532450
       5352.4989    0.0062114725     0.016177941     0.013673415     0.077160164
       5352.8560     0.014399836     0.017616515     0.013732204     0.079889814
       5353.2131     0.017519740     0.019468858     0.013817587     0.085812758
       5353.5702     0.017426368     0.017603847     0.013909916     0.094665755
       5353.9274     0.014443079     0.010690944     0.013981689     0.098070028
       5354.2845     0.010394988    0.0034047243     0.014027731     0.093659168
       5354.6417    0.0052140107    0.0056860961     0.014046922     0.087762596
       5354.9990   7.8805507e-05     0.010598501     0.014045708     0.080998703
       5355.3562   -0.0012417569     0.014293050     0.014021116     0.077774026
       5355.7135    0.0018539521     0.017528131     0.013971364     0.091346679
       5356.0708    0.0096110909     0.018927965     0.013927361      0.12044943
       5356.4281     0.019178963     0.018990050     0.013910153      0.13593830
       5356.7854     0.029846473     0.029651355     0.013945496      0.10770983
       5357.1428     0.037006474     0.029002140     0.013989570     0.066382962
       5357.5002     0.039555142     0.031818556     0.014016250     0.066266331
       5357.8576     0.037203017     0.025282478     0.013995466     0.087519161
       5358.2150     0.034690628     0.019811156     0.013946201     0.094882412
       5358.5725     0.032731618     0.023604874     0.013886189      0.10246657
       5358.9300     0.032110836     0.026810025     0.013823605      0.11030137
       5359.2875     0.028875576     0.024713237     0.013748441      0.11085666
       5359.6450     0.022237373     0.024866670     0.013664755      0.11072834
       5360.0026     0.014747929     0.023691402     0.013591170      0.10756605
       5360.3602     0.010790695     0.023613544     0.013560619     0.094091339
       5360.7178     0.013519027     0.022332677     0.013577279     0.075988293
       5361.0754     0.019791697     0.023841556     0.013611886     0.083002743
       5361.4331     0.027506218     0.030020136     0.013633909     0.094306971
       5361.7907     0.031646990     0.031995779     0.013612662     0.083293316
       5362.1484     0.032823688     0.032507414     0.013573345     0.072250473
       5362.5062     0.031845031     0.038675818     0.013533763     0.076886958
       5362.8639     0.028819999     0.034982461     0.013509605     0.084478568
       5363.2217     0.024438420     0.029120462     0.013496503     0.091198672
       5363.5795     0.017807270     0.024092186     0.013486996     0.098078938
       5363.9373     0.010835566     0.020591312     0.013481156     0.099451218
       5364.2951    0.0024993301    0.0075474355     0.013476856     0.095255463
       5364.6530   -0.0046849511   -0.0030948972     0.013479103     0.090326349
       5365.0109    -0.010792426   -0.0091762012     0.013484055     0.084720520
       5365.3688    -0.010936256    0.0043597766     0.013490606     0.082692686
       5365.7267   -0.0052669586     0.012316894     0.013496769     0.089131806
       5366.0847    0.0042170787     0.015702440     0.013492919     0.096192286
       5366.4427     0.012133160     0.021847484     0.013474141     0.091761243
       5366.8007     0.011965988     0.024086439     0.013437817     0.087156626
       5367.1587    0.0076707400     0.022726754     0.013404459     0.098273197
       5367.5168    0.0033752462     0.026107815     0.013391616      0.11389705
       5367.8749    0.0064857747     0.026289315     0.013385440      0.11240337
       5368.2330     0.013818495     0.019588369     0.013366505      0.10420438
       5368.5911     0.019691380     0.024770490     0.013309808     0.097820228
       5368.9493     0.022239142     0.025475127     0.013270308     0.090804096
       5369.3074     0.022947936     0.019881047     0.013279144     0.092169081
       5369.6656     0.025022248     0.025493133     0.013324484      0.10668988
       5370.0239     0.028295550     0.026545016     0.013380145      0.11570326
       5370.3821     0.028331557     0.026745051     0.013414822      0.10116989
       5370.7404     0.025065853     0.022822825     0.013437497     0.081129784
       5371.0987     0.018980311     0.013517694     0.013446932     0.073394697
       5371.4570     0.016670572    0.0098276435     0.013463242     0.071850105
       5371.8154     0.015806080    0.0050261255     0.013473146     0.076121482
       5372.1737     0.014477826   -0.0023637495     0.013474599     0.082360470
       5372.5321    0.0088903435   -0.0054799636     0.013459033     0.076933983
       5372.8905  -1.7832096e-05   -0.0065722514     0.013438856     0.068679934
       5373.2490   -0.0083905016   -0.0026504354     0.013417622     0.082900329
       5373.6074    -0.012416183    0.0065033750     0.013403168      0.10587204
       5373.9659   -0.0097218936    0.0096748217     0.013377499      0.11552614
       5374.3244   -0.0011267190    0.0053724523     0.013348801      0.11925709
       5374.6830     0.010480271     0.016346218     0.013348579      0.12349881
       5375.0415     0.020926988     0.023835755     0.013403856      0.12512628
       5375.4001     0.024907053     0.026961632     0.013545900      0.11733017
       5375.7587     0.022746732     0.017160329     0.013713765      0.10811239
       5376.1174     0.015909688     0.010303383     0.013858209      0.10287648
       5376.4760    0.0094771448     0.015994029     0.013930414      0.10545690
       5376.8347    0.0072468197     0.013168526     0.013949920      0.11098382
       5377.1934    0.0094682719     0.019803889     0.013919519      0.11462784
       5377.5521     0.015826287     0.023042444     0.013833025      0.10335909
       5377.9109     0.022777384     0.023606165     0.013665406     0.077856534
       5378.2697     0.027730354     0.021201227     0.013478825     0.055068110
       5378.6285     0.027379366     0.021946076     0.013346992     0.047073657
       5378.9873     0.019496301     0.017978795     0.013348311     0.053470818
       5379.3461    0.0071398981     0.017483878     0.013427903     0.070359017
       5379.7050   -0.0043271581     0.012285628     0.013501881     0.088712415
       5380.0639   -0.0080349824     0.013786741     0.013555952     0.094990468
       5380.4228   -0.0024125788     0.019649952     0.013591506     0.091182365
       5380.7818    0.0089140297     0.018879660     0.013631728     0.087148399
       5381.1407     0.020771442     0.026231026     0.013655812     0.080937079
       5381.4997     0.027539196     0.030532458     0.013639245     0.076510172
       5381.8587     0.029577960     0.029713854     0.013605896     0.077479593
       5382.2178     0.028251211     0.027707903     0.013579087     0.081802284
       5382.5768     0.026433883     0.034287259     0.013593442     0.079579941
       5382.9359     0.024996140     0.033280817     0.013635608     0.076811878
       5383.2950     0.023064186     0.028288303     0.013677927     0.076372989
       5383.6542     0.019975902     0.021599589     0.013692526     0.073827931
       5384.0133     0.016322429     0.024969822     0.013669292     0.070804736
       5384.3725     0.012876532     0.020764794     0.013629506     0.080857001
       5384.7317     0.011549375     0.018702460     0.013587187     0.096524573
       5385.0909     0.013728100     0.019988718     0.013557886      0.10507268
       5385.4502     0.019183392     0.016200475     0.013539895      0.10357451
       5385.8095     0.024191891     0.015402516     0.013532948     0.096745986
       5386.1688     0.026422453     0.021471570     0.013535434     0.086008178
       5386.5281     0.022590759     0.026436614     0.013540171     0.083785305
       5386.8875     0.016746420     0.032637894     0.013544265     0.096686099
       5387.2468     0.012555791     0.024967584     0.013549571      0.10728587
       5387.6062     0.015885076     0.021669744     0.013550833     0.099390742
       5387.9657     0.023458588     0.021775797     0.013556521     0.087355947
       5388.3251     0.031548272     0.027658413     0.013582773     0.081656473
       5388.6846     0.035985236     0.030781806     0.013641544     0.080477193
       5389.0441     0.036887961     0.033979200     0.013747934     0.074365981
       5389.4036     0.036003007     0.021310840     0.013873432     0.069332916
       5389.7631     0.034010105     0.025091868     0.013994245     0.067242033
       5390.1227     0.031415111     0.022413615     0.014085333     0.064033969
       5390.4823     0.026535848     0.026740081     0.014150878     0.065652980
       5390.8419     0.021619542     0.013983889     0.014187774     0.072926947
       5391.2015     0.016738250     0.018375246     0.014185345     0.075661463
       5391.5612     0.014775395     0.017214325     0.014148192     0.076220149
       5391.9209     0.015430709     0.020263289     0.014080537     0.087592803
       5392.2806     0.019479433     0.021814863     0.014000047     0.098787227
       5392.6403     0.026950116     0.023070181     0.013913815     0.093289872
       5393.0001     0.034876050     0.027621649     0.013820773     0.083562975
       5393.3599     0.039085605     0.034713385     0.013719467     0.079576561
       5393.7197     0.035457496     0.026093231     0.013619134     0.072600827
       5394.0795     0.024635800     0.025993552     0.013527886     0.064109898
       5394.4394     0.012727106     0.020893989     0.013460188     0.073060437
       5394.7992    0.0047463174     0.022032346     0.013418323     0.088796457
