# L0 template spectrum
# 132 total spectra
# resolution  = 20 km/s per pixel
# 5350 to 9200 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000     0.047287639     0.034942994    0.0081686808      0.12124687
       5350.3569     0.045089010     0.032816011    0.0081116477      0.11705017
       5350.7139     0.039589013     0.032776720    0.0080367228      0.11784138
       5351.0708     0.031644697     0.027736274    0.0079507254      0.12080505
       5351.4278     0.026852440     0.028605291    0.0078947284      0.11769338
       5351.7848     0.028597177     0.026093960    0.0078689702      0.10987047
       5352.1418     0.036624412     0.027568280    0.0078750454      0.10398329
       5352.4989     0.045841358     0.035663799    0.0079623162      0.10580365
       5352.8560     0.052570881     0.036711909    0.0081230935      0.10614286
       5353.2131     0.055516006     0.039233984    0.0082302915      0.10329652
       5353.5702     0.054846988     0.043190362    0.0081800808      0.10165769
       5353.9274     0.051054643     0.037028126    0.0081038590      0.10341140
       5354.2845     0.043265285     0.026632769    0.0080675235      0.10499516
       5354.6417     0.034895717     0.027544503    0.0080806304      0.10753884
       5354.9990     0.027868728     0.027463135    0.0081024323      0.11111510
       5355.3562     0.026708066     0.017658961    0.0081257080      0.10927485
       5355.7135     0.028831231     0.019132801    0.0081359014      0.10952003
       5356.0708     0.032302417     0.026177561    0.0081304928      0.10989553
       5356.4281     0.032902008     0.019554140    0.0081100267      0.10484076
       5356.7854     0.029826779     0.017658756    0.0080801877      0.10172663
       5357.1428     0.025008548     0.018817349    0.0080508066      0.10729399
       5357.5002     0.020714579     0.014092927    0.0080237688      0.11028669
       5357.8576     0.019073870     0.011064702    0.0080025297      0.10432819
       5358.2150     0.019420250     0.013640563    0.0079859381     0.099627970
       5358.5725     0.020012258     0.013688027    0.0079752868     0.099642711
       5358.9300     0.017284789     0.017392522    0.0079750453     0.099538861
       5359.2875     0.013366642     0.017751045    0.0079855692      0.10927701
       5359.6450    0.0096942348     0.020324188    0.0080046179      0.12799683
       5360.0026    0.0094663744     0.017882101    0.0080220869      0.13900984
       5360.3602     0.011505812     0.020502543    0.0080299079      0.13391830
       5360.7178     0.014834686     0.025665623    0.0080374371      0.12277535
       5361.0754     0.018054373     0.020661103    0.0080435694      0.11594696
       5361.4331     0.020787522     0.016619992    0.0080660473      0.10926638
       5361.7907     0.023537544     0.016980424    0.0080883517      0.10305265
       5362.1484     0.024678020     0.024652775    0.0080950185      0.10427176
       5362.5062     0.023701296     0.027220385    0.0080672156      0.10671002
       5362.8639     0.021309526     0.023949940    0.0080006300      0.10641876
       5363.2217     0.019623307     0.017703326    0.0079258189      0.10927772
       5363.5795     0.020308765     0.020501529    0.0078645165      0.11384118
       5363.9373     0.023230738     0.012725174    0.0078305589      0.10986676
       5364.2951     0.025452003     0.020488672    0.0078073221      0.10381710
       5364.6530     0.025168115     0.017753405    0.0077849415      0.10142478
       5365.0109     0.020954053     0.019285475    0.0077522973     0.099529651
       5365.3688     0.014295081     0.015448807    0.0077138698      0.10283341
       5365.7267    0.0089454272     0.017137746    0.0076818201      0.11779262
       5366.0847    0.0074519773     0.012374306    0.0076637080      0.12691380
       5366.4427     0.011633080     0.016276598    0.0076609837      0.11648770
       5366.8007     0.018493970     0.019266762    0.0076684724      0.10585203
       5367.1587     0.025394117     0.025184416    0.0076798697      0.10795478
       5367.5168     0.029265845     0.023912405    0.0076883499      0.11253770
       5367.8749     0.029263229     0.024436948    0.0076950582      0.11023661
       5368.2330     0.027001179     0.024911165    0.0077002834      0.10490357
       5368.5911     0.022716527     0.024016707    0.0077012069      0.10257960
       5368.9493     0.018936267     0.019620618    0.0076979003      0.10197779
       5369.3074     0.016507338     0.028279920    0.0076919615      0.10105490
       5369.6656     0.017332349     0.028951778    0.0076925276     0.098868013
       5370.0239     0.022557962     0.024532421    0.0077039883     0.094940001
       5370.3821     0.029632656     0.030824093    0.0077276413     0.091681042
       5370.7404     0.034880579     0.030547265    0.0077547412     0.093001918
       5371.0987     0.034539367     0.029368371    0.0077780122     0.093023628
       5371.4570     0.028952873     0.021344869    0.0077933522     0.089177603
       5371.8154     0.023288861     0.017286248    0.0078144908     0.092587447
       5372.1737     0.020420544     0.019203529    0.0078475910      0.10069053
       5372.5321     0.022754686     0.022673138    0.0078986453     0.099361861
       5372.8905     0.024264118     0.020442495    0.0079555332     0.094567352
       5373.2490     0.023247395     0.027703472    0.0080045323      0.10231064
       5373.6074     0.019272080     0.023024168    0.0080332456      0.11605418
       5373.9659     0.015360617     0.023213502    0.0080370306      0.12014598
       5374.3244     0.013977618     0.025407703    0.0080225266      0.11706070
       5374.6830     0.014529921     0.022721733    0.0079947744      0.11292870
       5375.0415     0.015958883     0.021284455    0.0079547916      0.10582328
       5375.4001     0.018117660     0.021836469    0.0079103384      0.10195040
       5375.7587     0.020147473     0.026613195    0.0078644365      0.10881092
       5376.1174     0.021532964     0.024203478    0.0078265631      0.11645766
       5376.4760     0.021506972     0.021163191    0.0077956748      0.11250001
       5376.8347     0.021480699     0.015422108    0.0077762344      0.10450884
       5377.1934     0.023988961     0.021194628    0.0077705298      0.10404171
       5377.5521     0.029722201     0.023112363    0.0077772732      0.10972310
       5377.9109     0.038044184     0.024925083    0.0077970193      0.11690114
       5378.2697     0.045955242     0.028802802    0.0078232397      0.12338691
       5378.6285     0.050668477     0.035252979    0.0078489261      0.12173175
       5378.9873     0.050461648     0.038529974    0.0078641155      0.11639910
       5379.3461     0.045436507     0.034387717    0.0078675614      0.11756037
       5379.7050     0.037856140     0.036163424    0.0078591340      0.11937694
       5380.0639     0.030138097     0.034825154    0.0078432727      0.10988321
       5380.4228     0.025726795     0.031800775    0.0078275833      0.10265711
       5380.7818     0.025508902     0.032594065    0.0078168526      0.11059097
       5381.1407     0.028125437     0.034514154    0.0078153146      0.11849600
       5381.4997     0.030570496     0.033659166    0.0078185232      0.11222702
       5381.8587     0.030834879     0.037061675    0.0078196892      0.10063708
       5382.2178     0.029703932     0.035910730    0.0078192271     0.099220215
       5382.5768     0.026745394     0.025748245    0.0078123393      0.10965673
       5382.9359     0.023400552     0.025923981    0.0077999703      0.11995893
       5383.2950     0.020180650     0.018468199    0.0077817075      0.11969428
       5383.6542     0.019145059     0.016390944    0.0077603983      0.10632727
       5384.0133     0.022922025     0.014403787    0.0077472771      0.10464520
       5384.3725     0.029948406     0.021700820    0.0077465368      0.11787239
       5384.7317     0.038269988     0.028954770    0.0077584447      0.12315216
       5385.0909     0.041650558     0.030697849    0.0077683007      0.11521486
       5385.4502     0.039144285     0.029921469    0.0077713313      0.11216792
       5385.8095     0.031938286     0.028994968    0.0077659100      0.11653181
       5386.1688     0.024879710     0.024721131    0.0077601881      0.11108925
       5386.5281     0.022426942     0.023792889    0.0077602548     0.094615197
       5386.8875     0.024302589     0.021120502    0.0077691963     0.088623217
       5387.2468     0.028996174     0.017925420    0.0077843680     0.095244073
       5387.6062     0.031871552     0.022556244    0.0077999297     0.098485046
       5387.9657     0.032695095     0.023382811    0.0078091209      0.10189527
       5388.3251     0.031774899     0.034946690    0.0078083305      0.11094600
       5388.6846     0.030064210     0.021819706    0.0077991819      0.11642787
       5389.0441     0.029432080     0.026294728    0.0077952794      0.11779690
       5389.4036     0.028916095     0.027244102    0.0078045824      0.12374619
       5389.7631     0.029638804     0.032247004    0.0078267047      0.12778857
       5390.1227     0.030708581     0.029570941    0.0078511860      0.12573726
       5390.4823     0.033008911     0.023096062    0.0078698596      0.12083983
       5390.8419     0.035860088     0.024303501    0.0078793444      0.11497029
       5391.2015     0.038765011     0.030394151    0.0078851818      0.10565486
       5391.5612     0.042100964     0.032234771    0.0078886456      0.10382936
       5391.9209     0.045315235     0.033306073    0.0078909978      0.10899047
       5392.2806     0.047387449     0.028993008    0.0078858018      0.11238540
       5392.6403     0.046941032     0.026186820    0.0078721313      0.11500668
       5393.0001     0.043549359     0.027342806    0.0078542438      0.12153976
       5393.3599     0.038746064     0.026059028    0.0078359377      0.12653659
       5393.7197     0.034888170     0.024514035    0.0078252731      0.12167490
       5394.0795     0.032931662     0.022329740    0.0078198244      0.11345451
       5394.4394     0.032633313     0.025745700    0.0078166084      0.10804180
       5394.7992     0.031833199     0.024391847    0.0078163228      0.10278046
       5395.1591     0.029136455     0.021741519    0.0078130509     0.098733874
       5395.5191     0.025610990     0.020514131    0.0078102374      0.10129358
       5395.8790     0.022196164     0.023444288    0.0078062916      0.10426290
       5396.2390     0.021130734     0.033316379    0.0078032094      0.10533326
       5396.5990     0.021375876     0.028079836    0.0077973277      0.10903392
       5396.9590     0.022519603     0.020026565    0.0077878324      0.11448492
       5397.3191     0.022378367     0.022554228    0.0077710473      0.11034615
       5397.6791     0.020910588     0.016022177    0.0077546828      0.10122188
       5398.0392     0.018975287     0.020703277    0.0077480534     0.093513412
       5398.3993     0.017906332     0.024758858    0.0077542714     0.088414915
       5398.7595     0.018407801     0.023304680    0.0077687094     0.083094710
       5399.1196     0.020065137     0.023775754    0.0077881886     0.087144066
       5399.4798     0.022577246     0.024333440    0.0078107904     0.098027795
       5399.8401     0.026915692     0.024710915    0.0078368149      0.10312793
       5400.2003     0.032791070     0.027992356    0.0078578073      0.10231310
       5400.5606     0.038534844     0.028892632    0.0078642588      0.10178129
       5400.9208     0.041831011     0.035386337    0.0078502528     0.095589013
       5401.2812     0.041532154     0.037608395    0.0078234661     0.087683310
       5401.6415     0.039700982     0.031883042    0.0077954158     0.092155430
       5402.0018     0.037391402     0.032163560    0.0077667020      0.10339575
       5402.3622     0.036354190     0.031843474    0.0077378884      0.10603757
       5402.7226     0.034430439     0.029126974    0.0077082767      0.11000074
       5403.0831     0.032722658     0.027487706    0.0076837392      0.12623058
       5403.4435     0.032209775     0.025743063    0.0076695234      0.13902346
       5403.8040     0.033569262     0.029328047    0.0076562250      0.13155981
       5404.1645     0.036156647     0.029684629    0.0076394584      0.12022218
       5404.5250     0.038244052     0.037743363    0.0076201953      0.12308558
       5404.8856     0.038513357     0.035479568    0.0076034732      0.13204982
       5405.2462     0.038165749     0.033545866    0.0076035222      0.13646961
       5405.6068     0.038597870     0.027000271    0.0076157722      0.13246197
       5405.9674     0.042864153     0.023551914    0.0076418998      0.11803327
       5406.3280     0.048930646     0.032509556    0.0076654826      0.10678318
       5406.6887     0.054090523     0.035705256    0.0076839100      0.11289129
       5407.0494     0.054414853     0.044218826    0.0076882986      0.12251264
       5407.4101     0.047413199     0.041564065    0.0076765620      0.12203624
       5407.7709     0.038125819     0.033306398    0.0076609415      0.12241235
       5408.1316     0.030299493     0.029331104    0.0076534686      0.12329082
       5408.4924     0.028056456     0.030575739    0.0076652285      0.10788946
       5408.8532     0.029326566     0.032075418    0.0076911840     0.094163184
       5409.2141     0.031816033     0.028377247    0.0077208909     0.099731053
       5409.5749     0.033369502     0.027203745    0.0077431015      0.10991731
       5409.9358     0.033583486     0.023851961    0.0077519825      0.11036955
       5410.2967     0.033163608     0.024795768    0.0077511328      0.11389029
       5410.6577     0.032206644     0.023485294    0.0077482056      0.12145410
       5411.0186     0.029413971     0.022581815    0.0077451131      0.11868911
       5411.3796     0.025037812     0.022732135    0.0077474582      0.10870651
       5411.7406     0.020726671     0.020049721    0.0077554702      0.10377505
       5412.1017     0.019330677     0.015481996    0.0077727678      0.10343869
       5412.4627     0.023598851     0.019186375    0.0077990191      0.10408286
       5412.8238     0.031591662     0.017516752    0.0078302283      0.11087923
       5413.1849     0.039316961     0.029086418    0.0078584044      0.11905138
       5413.5460     0.041168602     0.034085066    0.0078751669      0.12103414
       5413.9072     0.037463262     0.034673382    0.0078811265      0.12222557
       5414.2684     0.031063193     0.026944534    0.0078802419      0.12539017
       5414.6296     0.027050582     0.028218301    0.0078817045      0.12103267
       5414.9908     0.027187362     0.029356126    0.0078887780      0.10481655
       5415.3520     0.031333640     0.032002935    0.0079018218     0.088952334
       5415.7133     0.036323256     0.035866026    0.0079161433     0.085206102
       5416.0746     0.040312162     0.037248522    0.0079265524     0.088804408
       5416.4359     0.041112911     0.034779306    0.0079249361     0.092902276
       5416.7973     0.038116121     0.034615930    0.0079095392     0.096554567
       5417.1586     0.032209749     0.027350726    0.0078783114     0.099506136
       5417.5200     0.025686689     0.029472951    0.0078406878      0.10348596
       5417.8815     0.022173116     0.030932350    0.0078126063      0.11104805
       5418.2429     0.022677867     0.023120885    0.0078036383      0.11823565
       5418.6044     0.027257081     0.023871608    0.0078132366      0.11339436
       5418.9659     0.033667717     0.025160454    0.0078290616      0.10263721
       5419.3274     0.039382606     0.034688317    0.0078438176     0.096696587
