# L5 template spectrum
# 11 total spectra
# resolution  = 60 km/s per pixel
# 5350 to 8900 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000    0.0026055135    0.0015694118     0.029165387     0.069999062
       5351.0707     0.011477876     0.038903270     0.029166471     0.067423778
       5352.1417    0.0085678135     0.022042391     0.028990992     0.054247054
       5353.2129     0.014333955     0.043154059     0.028850426     0.059919737
       5354.2842     0.016345000     0.011570669     0.028836949     0.065669095
       5355.3558     0.057228479     0.058316255     0.029064182      0.10085877
       5356.4277     0.030920269     0.029167641     0.029087276     0.054281249
       5357.4997     0.028618230     0.026119595     0.029176006     0.049346961
       5358.5719     0.025636524     0.044619209     0.029116834     0.052212656
       5359.6444     0.024399073     0.026442083     0.028873672     0.054739016
       5360.7171     0.034409527     0.052288358     0.028643077     0.052883239
       5361.7899     0.045539911     0.042266081     0.028523864     0.058433393
       5362.8630     0.024741656     0.011400074     0.028441515     0.047842874
       5363.9364     0.027219386     0.029723659     0.028576398     0.053291789
       5365.0099     0.019269680     0.030228507     0.028627598     0.087553965
       5366.0836     0.010152359     0.016953255     0.028533526     0.082137365
       5367.1576    0.0074941212   -0.0038413030     0.028412476     0.071123211
       5368.2318     0.021344862     0.026695413     0.028502427     0.055473096
       5369.3062     0.036123890     0.015848673     0.028556872     0.076873224
       5370.3808     0.034023544    0.0091212113     0.028420946     0.056410077
       5371.4556    0.0049600474    0.0070873088     0.028194340     0.052999249
       5372.5306    0.0046013905     0.016241855     0.028153931     0.062016327
       5373.6059     0.022549117   -0.0039177743     0.028234425     0.064207248
       5374.6813    0.0061465860     0.026664812     0.028206544     0.054525744
       5375.7570     0.021079515     0.027269702     0.028329596     0.054977251
       5376.8329     0.011178224     0.031814518     0.028370944     0.075796562
       5377.9090   -0.0046219321    -0.010461533     0.028259684     0.096135911
       5378.9853     0.016188796    0.0017109420     0.028251441      0.10776272
       5380.0619     0.028989786    0.0078241383     0.028270203      0.12774330
       5381.1386     0.015720645     0.010207105     0.028055208      0.11816518
