# L4 template spectrum
# 7 total spectra
# resolution  = 40 km/s per pixel
# 5350 to 8900 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000    -0.010728690     0.028643069      0.10050933      0.15528438
       5350.7138   -0.0069964931     0.073572751      0.10058622      0.18188139
       5351.4277   -0.0090873733     0.056781205      0.10074657      0.16799854
       5352.1418    -0.011823933   -0.0036706288      0.10094413      0.11338458
       5352.8559    -0.017203002    -0.045315225      0.10111226     0.068095504
       5353.5701    -0.020150894    -0.031698485      0.10117765     0.073530931
       5354.2844    -0.029742647    -0.043016771      0.10114196     0.082394471
       5354.9988    -0.044790580    -0.044820472      0.10103311     0.078730548
       5355.7133    -0.055892200    -0.074246349      0.10088071     0.068596053
       5356.4279    -0.068450066    -0.063585660      0.10067677      0.10893252
       5357.1426    -0.092909868    -0.068669368      0.10038165      0.20900425
       5357.8573     -0.11277043    -0.062973072      0.10002912      0.30894090
       5358.5722     -0.10417569    -0.018484320     0.099669695      0.37040144
       5359.2872    -0.072056820     0.050507035     0.099303472      0.37882206
       5360.0023    -0.032966873     0.065719617     0.098916524      0.34815661
       5360.7174    0.0017090261     0.068151110     0.098518608      0.28438464
       5361.4327     0.032978068     0.052039839     0.098153621      0.18842537
       5362.1480     0.061001185     0.028641805     0.097825782      0.11355394
       5362.8635     0.075598878     0.016651219     0.097517697      0.12560760
       5363.5790     0.059511724   0.00083897023     0.097166724      0.13752167
       5364.2947     0.028868021   0.00088892708     0.096817286      0.11219696
       5365.0104    0.0042332684    0.0010544872     0.096541182      0.10283059
       5365.7262    -0.025063904    0.0012398990     0.096338402      0.11721652
       5366.4421    -0.045459195   -0.0054422127     0.096239440      0.11122756
       5367.1582    -0.054975302    -0.065823406     0.096257275      0.10108344
       5367.8743    -0.050134019    -0.081268912     0.096365425     0.084961885
       5368.5905    -0.028591759    -0.055027289     0.096566327     0.068746948
       5369.3068    0.0026339033    -0.027452860     0.096872284     0.089678852
       5370.0232     0.037415220   -0.0035904142     0.097252090      0.12884846
       5370.7397     0.073445976     0.012477149     0.097638057      0.16073168
       5371.4563     0.096070718     0.023803755     0.097985511      0.18861463
       5372.1730     0.090071795     0.029507906     0.098259216      0.19747624
       5372.8898     0.050458815     0.024224150     0.098424214      0.14831084
       5373.6067   -0.0041669844    -0.020263823     0.098514204     0.082168994
       5374.3236    -0.061105484    -0.032766025     0.098525876      0.10183079
       5375.0407    -0.097295607    -0.059474262     0.098461000      0.16888489
       5375.7579     -0.10545517    -0.050693527     0.098303501      0.21050333
       5376.4751     -0.10173122    -0.028965737     0.098066413      0.23062730
       5377.1925    -0.097351486    -0.015192094     0.097771586      0.23166325
       5377.9100    -0.098075850   -0.0038751018     0.097410119      0.22757977
       5378.6275    -0.099684889    -0.031464747     0.097016972      0.22981776
       5379.3451    -0.099749365    -0.054797931     0.096683739      0.23095993
       5380.0629    -0.094563269    -0.048052040     0.096522361      0.21948722
       5380.7807    -0.077468669    -0.046850110     0.096567059      0.18963711
       5381.4987    -0.056235740    -0.052501363     0.096677271      0.16089296
       5382.2167    -0.038627825    -0.047449731     0.096733746      0.14774016
       5382.9348    -0.029931151    -0.029824905     0.096646362      0.15449331
       5383.6530    -0.021860657   -0.0038606751     0.096506039      0.15923324
       5384.3714    -0.011854053     0.026799566     0.096347985      0.15025805
       5385.0898    0.0063177838     0.038529415     0.096237523      0.12385894
       5385.8083     0.028471016     0.012010832     0.096224892     0.094236929
       5386.5269     0.055473685     0.047040220     0.096349764     0.080477830
       5387.2456     0.091841376      0.14202675     0.096691571     0.098247365
       5387.9644      0.12049665      0.10979686     0.097108894      0.14542523
       5388.6833      0.13239431     0.080331284     0.097429424      0.19231738
       5389.4023      0.11090017     0.060264472     0.097462239      0.23095826
       5390.1213     0.077667732     0.018396022     0.097235838      0.30688915
       5390.8405     0.057799704     0.013315461     0.096877877      0.39133117
       5391.5598     0.064873551    0.0092281454     0.096495144      0.42066190
       5392.2792     0.088699252     0.024836705     0.096112495      0.37339739
       5392.9986      0.10766600     0.042746482     0.095707029      0.28945827
       5393.7182      0.11463573     0.060401379     0.095314895      0.21890143
       5394.4379      0.11257649     0.071257733     0.094984653      0.17961813
       5395.1576      0.12085026     0.074467826     0.094765440      0.17016041
       5395.8775      0.13834896     0.073512850     0.094623693      0.16876278
       5396.5974      0.16224181     0.070264027     0.094544004      0.21315195
