# L3 template spectrum
# 20 total spectra
# resolution  = 40 km/s per pixel
# 5350 to 9200 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000     0.022624449     0.026545275     0.016970067     0.058005727
       5350.7138    0.0013536659     0.025000711     0.016795669     0.063428140
       5351.4277    -0.022505641    -0.012637438     0.016600527     0.084408164
       5352.1418    -0.018318740    -0.025863020     0.016606252     0.084032818
       5352.8559    0.0073976625    -0.012347839     0.016900757     0.076431715
       5353.5701     0.027180501     0.021369741     0.017219813     0.073538343
       5354.2844     0.045749275     0.034647487     0.017334275      0.11073712
       5354.9988     0.033679884     0.020187787     0.017234199      0.15676906
       5355.7133   -0.0051764482    0.0010480748     0.017039376      0.14504082
       5356.4279    -0.017536713   -0.0088692322     0.016897932      0.10523373
       5357.1426   -0.0056249760   -0.0030128746     0.016816819     0.092375496
       5357.8573   0.00079910483     0.037769152     0.016680284     0.098437963
       5358.5722   -0.0041066609    0.0077009481     0.016589324     0.089959074
       5359.2872    -0.014107425    0.0040595109     0.016633238     0.090706933
       5360.0023   -0.0073617973     0.019152949     0.016661390      0.12248262
       5360.7174     0.022045206     0.016740464     0.016598953     0.097308135
       5361.4327     0.038987093     0.033177909     0.016406863     0.076360373
       5362.1480     0.030526300     0.022868827     0.016238747     0.074334181
       5362.8635    0.0073423305     0.034341025     0.016112151     0.075076692
       5363.5790    -0.021847802   -0.0022295888     0.015961744     0.089168707
       5364.2947    -0.021876246    -0.012275316     0.015978025     0.064052940
       5365.0104   -0.0078479432    0.0067328120     0.016092867     0.065888853
       5365.7262    -0.013081403    -0.021377352     0.016110187     0.086824138
       5366.4421   -0.0091515039    -0.025673493     0.016145651     0.086374344
       5367.1582     0.015793829     0.010175272     0.016279412     0.069764251
       5367.8743     0.040145355     0.024482195     0.016405188     0.078604839
       5368.5905     0.041522611     0.036276586     0.016485536     0.092310347
       5369.3068     0.029409427     0.035679038     0.016614704     0.087776648
       5370.0232     0.026038931    0.0090327083     0.016748287     0.072571471
       5370.7397     0.027909627     0.012818985     0.016885293     0.076363514
       5371.4563     0.015683398    0.0075444470     0.016916515     0.077167943
       5372.1730    0.0026351427     0.010062252     0.016887133     0.083336646
       5372.8898     0.026034392     0.014328804     0.016997626     0.075844599
       5373.6067     0.051617409     0.028726309     0.017072964     0.091838608
       5374.3236     0.049578483     0.017603914     0.017119664      0.12871522
       5375.0407     0.032850349    0.0084026802     0.017292331      0.10350854
       5375.7579    0.0021773215   -0.0096985392     0.017096816     0.056291844
       5376.4751    -0.018609371    -0.016684751     0.016866457     0.056878646
       5377.1925   -0.0053475456     0.016735487     0.016692239     0.084083650
       5377.9100     0.020841195     0.025777970     0.016568232     0.096371610
       5378.6275     0.023120325     0.031094714     0.016606607     0.082343317
       5379.3451     0.019129417     0.027098864     0.016664887     0.067708499
       5380.0629     0.020763354     0.040113913     0.016594435     0.087488698
       5380.7807     0.023668746     0.037199634     0.016578097      0.11053960
       5381.4987     0.021699443     0.020001745     0.016453037     0.094248102
       5382.2167     0.014833765     0.028341463     0.016402255     0.099559126
       5382.9348     0.034067507    0.0054747538     0.016579544      0.10830477
       5383.6530     0.033755579     0.015777182     0.016570020      0.11302506
       5384.3714     0.016163905     0.013556772     0.016504247     0.078745460
       5385.0898     0.027845813     0.026807980     0.016668263     0.071496666
       5385.8083     0.032958545     0.028271875     0.016868860     0.069382200
       5386.5269     0.017115046     0.017289774     0.016825579     0.074514427
       5387.2456    0.0024386218     0.012862351     0.016641361     0.065736256
       5387.9644   -0.0048479386   -0.0063103580     0.016399312     0.066170128
       5388.6833   0.00071750921   -0.0034795014     0.016209054     0.077693738
       5389.4023    0.0094388626    0.0094301423     0.016153886     0.081379504
       5390.1213  -0.00034543774   -0.0053129876     0.016210446     0.096683760
       5390.8405   -0.0023466195     0.012796373     0.016417786     0.091068393
       5391.5598     0.020427952     0.018184200     0.016735947     0.071162625
       5392.2792     0.024872847     0.016538143     0.016865602     0.060091330
       5392.9986    0.0054310390     0.014659918     0.016770355     0.056618430
       5393.7182   -0.0099807100    -0.010482938     0.016697046     0.069160209
       5394.4379    -0.010231831    -0.018252644     0.016657416     0.077528616
       5395.1576     0.020919311    0.0059322877     0.016677520     0.096365155
       5395.8775     0.042360131     0.023198431     0.016602590     0.082375490
       5396.5974     0.027524133     0.028276483     0.016420945     0.067080570
       5397.3175    0.0076254458     0.017406036     0.016269640     0.098955660
       5398.0376   -0.0081451043     0.013856937     0.016213286      0.12260467
       5398.7578   -0.0090459603    0.0078385824     0.016240706     0.099828633
       5399.4782    0.0072082632     0.023190037     0.016310148     0.089178048
       5400.1986     0.029353053     0.035844598     0.016329650     0.086892453
       5400.9191     0.029706903     0.021303768     0.016268705     0.069501010
       5401.6398     0.013230251     0.018818508     0.016204007     0.068154528
       5402.3605    0.0051829257    0.0076072785     0.016178480     0.071090935
       5403.0813   -0.0030722117   -0.0041591612     0.016123636     0.068436478
       5403.8022   -0.0016703237   0.00034634990     0.016139926     0.059972581
       5404.5232    0.0059724519    0.0035667540     0.016185840     0.063701012
       5405.2443   -0.0056013336    -0.014487949     0.016138632     0.065227495
       5405.9655    -0.016818858    -0.018769335     0.016101275     0.070811336
       5406.6868   -0.0050239531    -0.016159402     0.016097197     0.067278167
       5407.4082     0.013066894    0.0061183688     0.016093550     0.062276794
       5408.1297     0.018208774     0.017997832     0.016064072     0.070112296
       5408.8513     0.010172171    0.0096368210     0.016250296     0.072844173
       5409.5729   -0.0020324469    0.0051015197     0.016571576     0.086072173
       5410.2947    0.0018004608    0.0082481665     0.016756585     0.081523268
       5411.0166     0.022064364    0.0076319078     0.016823379     0.074643836
       5411.7386     0.043759765     0.025330753     0.016796228     0.078530150
       5412.4606     0.057570586     0.019894450     0.016792802      0.11755768
       5413.1828     0.053002246     0.010708148     0.016772102      0.14666936
       5413.9050     0.010170579    -0.017875701     0.016696965      0.11926413
       5414.6274    -0.014051394   0.00018154330     0.016758174      0.10645455
       5415.3498     0.011839122     0.013904144     0.016784516     0.087499160
       5416.0724     0.022568989     0.021049400     0.016827888     0.070141587
       5416.7950     0.014937103    0.0037012251     0.016994357     0.061911524
       5417.5178     0.023332640     0.018919657     0.016988921     0.075115086
       5418.2406     0.029513685     0.032475773     0.016657812     0.086035594
       5418.9635    0.0040477428     0.010954292     0.016264823     0.094561389
       5419.6866   -0.0016877383    0.0035648121     0.016254602     0.075545712
       5420.4097     0.024869649     0.033801022     0.016484446     0.094100522
       5421.1329     0.033939945     0.023433713     0.016559836     0.086986663
       5421.8562     0.029031153     0.019445592     0.016535728     0.065492424
       5422.5796     0.021544320     0.021932658     0.016558699     0.049824964
       5423.3032     0.017766230    0.0067200936     0.016672967     0.062358956
       5424.0268  -0.00031224301     0.013119267     0.016582521     0.084417948
       5424.7505   -0.0088445985    0.0089842432     0.016449964     0.068056161
       5425.4743     0.017761355     0.020925839     0.016572179     0.079394221
       5426.1982     0.025643006     0.020299620     0.016859808     0.064968887
       5426.9222     0.010588363     0.032183998     0.017096158      0.11669528
       5427.6463     0.017719493     0.011000415     0.017006603      0.12563126
       5428.3704     0.021252748     0.015438893     0.016691691      0.16936820
       5429.0947     0.032680238     0.016620778     0.016311660      0.15967313
       5429.8191     0.044339655     0.031737685     0.016210755      0.12903325
       5430.5436     0.031210153     0.035248592     0.016291119     0.069114184
       5431.2682     0.016885951     0.017152029     0.016248916     0.062105729
       5431.9928    0.0063465674     0.022074192     0.016215494     0.078816621
       5432.7176     0.012656840    0.0056622793     0.016327005     0.051155086
       5433.4425     0.020766198     0.023459427     0.016414800     0.070064362
       5434.1674   -0.0053391880  -0.00055702859     0.016333406     0.086717028
       5434.8925   -0.0085919781     0.015335896     0.016417155     0.095715312
       5435.6176     0.027590522     0.023784984     0.016712541     0.058375518
       5436.3429     0.035678868     0.027886114     0.016907754     0.058510040
       5437.0682     0.027815955     0.013463909     0.017018640     0.063697093
       5437.7937     0.022031141     0.021179773     0.017076223     0.078273065
       5438.5192     0.013182768    0.0020097131     0.016983409     0.074406754
       5439.2448     0.010374203    0.0093235039     0.016827551     0.064786490
       5439.9706    0.0079823985    0.0085747078     0.016722931     0.074961498
       5440.6964     0.013673747     0.011780371     0.016638742     0.059167293
       5441.4223   -0.0035951192     0.012990730     0.016546375     0.051621006
       5442.1484    -0.015462356    0.0085955385     0.016597130     0.074411936
       5442.8745     0.022145295    0.0097527712     0.016859923      0.11755594
       5443.6007     0.035319238    0.0090711481     0.017007963      0.10683668
       5444.3270     0.018349170    0.0030153515     0.016991885     0.068182284
       5445.0534     0.011218132     0.022590361     0.016871379     0.098961461
       5445.7799     0.018792498    0.0065566585     0.016707640      0.12934421
       5446.5066     0.038804643     0.032148859     0.016680412     0.097531215
       5447.2333     0.037193645     0.040507010     0.016666054     0.094040076
       5447.9601    0.0075316094     0.016071981     0.016594201     0.076427013
       5448.6870    -0.010570667     0.016296564     0.016682083     0.065384397
       5449.4139   -0.0087449017     0.022674771     0.016895278     0.076137658
       5450.1410    0.0076421470    0.0073297791     0.017103925     0.075340768
       5450.8682     0.022545114     0.028867685     0.017162542     0.061609006
       5451.5955     0.024804588     0.016724135     0.016974027     0.059862536
       5452.3229     0.027799737     0.028098334     0.016768365     0.068508361
       5453.0504     0.020205761     0.028658095     0.016596460     0.081171135
       5453.7780     0.015862607     0.012461067     0.016534760     0.092880812
       5454.5056     0.022888268     0.020821168     0.016623394     0.090005891
