# L7 template spectrum
# 1 total spectra
# resolution  = 60 km/s per pixel
# 5350 to 8900 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000    0.0089836541    0.0089836541     0.073097168     0.073097168
       5351.0707     0.018469938     0.018469938     0.072987676     0.072987676
       5352.1417     0.045457558     0.045457558     0.073042591     0.073042591
       5353.2129     0.059880578     0.059880578     0.072772919     0.072772919
       5354.2842     0.057175887     0.057175887     0.072204284     0.072204284
       5355.3558     0.036317280     0.036317280     0.071898292     0.071898292
       5356.4277   -0.0039065601   -0.0039065601     0.072046374     0.072046374
       5357.4997    -0.027000332    -0.027000332     0.072148026     0.072148026
       5358.5719   -0.0020386153   -0.0020386153     0.071826706     0.071826706
       5359.6444     0.028171085     0.028171085     0.071555182     0.071555182
       5360.7171     0.026522669     0.026522669     0.071774525     0.071774525
       5361.7899    0.0066703954    0.0066703954     0.072134159     0.072134159
       5362.8630    -0.028357069    -0.028357069     0.072186134     0.072186134
       5363.9364    -0.062669295    -0.062669295     0.072011229     0.072011229
       5365.0099    -0.050530593    -0.050530593     0.071847082     0.071847082
       5366.0836    0.0072362463    0.0072362463     0.071718620     0.071718620
       5367.1576     0.052707940     0.052707940     0.071509840     0.071509840
       5368.2318     0.063100906     0.063100906     0.071179071     0.071179071
       5369.3062     0.060400509     0.060400509     0.070983144     0.070983144
       5370.3808     0.051758761     0.051758761     0.071055733     0.071055733
       5371.4556     0.047244019     0.047244019     0.071359830     0.071359830
       5372.5306     0.067987807     0.067987807     0.071903970     0.071903970
       5373.6059     0.094564292     0.094564292     0.072515073     0.072515073
       5374.6813      0.10351574      0.10351574     0.072910940     0.072910940
       5375.7570     0.092618665     0.092618665     0.073060935     0.073060935
       5376.8329     0.054518935     0.054518935     0.072935196     0.072935196
       5377.9090   -0.0052827225   -0.0052827225     0.072555471     0.072555471
       5378.9853    -0.036265952    -0.036265952     0.072096974     0.072096974
       5380.0619    -0.015481815    -0.015481815     0.071645099     0.071645099
       5381.1386     0.016591464     0.016591464     0.071340550     0.071340550
